47 mini_c2tm_262.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], -2.0
41 mini_c2tm_263.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], -2.5
49 mini_c2tm_264.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], -3.0
50 mini_c2tm_265.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], -3.5
44 mini_c2tm_266.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], 2.0
43 mini_c2tm_267.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], 2.5
46 mini_c2tm_268.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], 3.0
44 mini_c2tm_269.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], -2.0
23 mini_c2tm_26.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], -3.0
43 mini_c2tm_270.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], -2.5
46 mini_c2tm_271.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], -3.0
49 mini_c2tm_272.seq 4.0, 2.26, -4.0, 102.8, -10.657, [30.0], [1], [180], -3.5
59 mini_c2tm_273.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], 2.0
60 mini_c2tm_274.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], 2.5
54 mini_c2tm_275.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], 3.0
59 mini_c2tm_276.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], -2.0
60 mini_c2tm_277.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], -2.5
54 mini_c2tm_278.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], -3.0
46 mini_c2tm_279.seq 4.0, 2.26, -3.0, 102.8, -7.973, [40.0], [1], [180], -3.5
26 mini_c2tm_27.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], -3.5
56 mini_c2tm_280.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], 2.0
60 mini_c2tm_281.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], 2.5
53 mini_c2tm_282.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], 3.0
56 mini_c2tm_283.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], -2.0
60 mini_c2tm_284.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], -2.5
53 mini_c2tm_285.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], -3.0
46 mini_c2tm_286.seq 4.0, 2.26, -3.5, 102.8, -9.312, [40.0], [1], [180], -3.5
51 mini_c2tm_287.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], 2.0
54 mini_c2tm_288.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], 2.5
52 mini_c2tm_289.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], 3.0
18 mini_c2tm_28.seq 3.8, 2.26, -3.5, 102.8, -8.843, [20.0], [1], [180], 2.0
51 mini_c2tm_290.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], -2.0
54 mini_c2tm_291.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], -2.5
52 mini_c2tm_292.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], -3.0
47 mini_c2tm_293.seq 4.0, 2.26, -4.0, 102.8, -10.657, [40.0], [1], [180], -3.5
65 mini_c2tm_294.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], 2.0
65 mini_c2tm_295.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], 2.5
59 mini_c2tm_296.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], 3.0
66 mini_c2tm_297.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], -2.0
65 mini_c2tm_298.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], -2.5
59 mini_c2tm_299.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], -3.0
23 mini_c2tm_29.seq 3.8, 2.26, -3.5, 102.8, -8.843, [20.0], [1], [180], 2.5
25 mini_c2tm_2.seq 3.8, 2.26, -3.0, 102.8, -7.572, [10.0], [1], [180], 3.0
56 mini_c2tm_300.seq 4.0, 2.26, -3.0, 102.8, -7.973, [50.0], [1], [180], -3.5
60 mini_c2tm_301.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], 2.0
58 mini_c2tm_302.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], 2.5
56 mini_c2tm_303.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], 3.0
60 mini_c2tm_304.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], -2.0
58 mini_c2tm_305.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], -2.5
56 mini_c2tm_306.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], -3.0
53 mini_c2tm_307.seq 4.0, 2.26, -3.5, 102.8, -9.312, [50.0], [1], [180], -3.5
57 mini_c2tm_308.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], 2.0
56 mini_c2tm_309.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], 2.5
22 mini_c2tm_30.seq 3.8, 2.26, -3.5, 102.8, -8.843, [20.0], [1], [180], 3.0
56 mini_c2tm_310.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], 3.0
