# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
3, 32, 5.625, 2.26, -1.125, 101.125, -4.195, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.375, 101.375, -5.129, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.625, 101.625, -6.065, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.875, 101.875, -7.002, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.125, 102.125, -7.941, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.375, 102.375, -8.883, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.625, 102.625, -9.827, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.875, 102.875, -10.773, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.125, 100.125, -0.466, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.375, 100.375, -1.397, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.625, 100.625, -2.329, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.875, 100.875, -3.261, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.125, 101.125, -4.195, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.375, 101.375, -5.129, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
